Kanji,Reading,Meaning,Japanese Example,English Example
座る,すわる,to sit,椅子に座って、くつろいでください。,Please sit in the chair and relax.
背,せい,"(one's) height, stature",彼の背は高いです。,He is tall in stature.
生徒,せいと,student; pupil,学校の生徒たちが忙しい。,The students at school are busy.
セーター,セーター,sweater,冬にはセーターが必要だ。,A sweater is necessary in winter.
石鹸,せっけん,soap,石鹸で手を洗ってください。,Please wash your hands with soap.
背広,せびろ,men's suit,結婚式に背広を着て行った。,I wore a suit to the wedding.
狭い,せまい,narrow; not spacious,この部屋は狭くて動きにくい。,This room is narrow and hard to move around in.
ゼロ,ゼロ,zero,そのテストでゼロ点を取った。,I got zero on that test.
千,せん,thousand,1000円は1千円です。,"1000 yen is equal to 1,000 yen."
先月,せんげつ,last month,先月、友達と旅行に行った。,I went on a trip with friends last month.
先週,せんしゅう,last week,先週、新しい映画を見た。,I watched a new movie last week.
先生,せんせい,"teacher, professor; master; doctor",その学校の先生は厳しいです。,The teacher at that school is strict.
洗濯,せんたく,"washing, laundry",週末に洗濯をする予定です。,I plan to do laundry on the weekend.
全部,ぜんぶ,"all, entire, whole",プレゼントを全部開けてみた。,I opened all the presents.
そう; そうです,そう; そうです,"yes; appears, to be the case",そうだ、一緒に行こう。,"Yes, let's go together."
掃除,そうじ (する),"cleaning, sweeping",毎週末に部屋の掃除をする。,I clean the room every weekend.
そうして; そして,そうして; そして,"and, like that",買い物に行って、そして映画を見た。,I went shopping and then watched a movie.
そこ,そこ,"that place, there; bottom, sole",私の家のそこに公園があります。,There is a park near my house.
そちら,そちら,over there,そちらの方はどこから来ましたか？,Where did you come from over there?
そっち,そっち,over there,電車はそっちのホームに来ます。,The train will come to that platform over there.
外,そと,"outside, exterior",外で遊ぶのが好きです。,I like to play outside.
その,その,that,その本はとても面白かったです。,That book was very interesting.
そば,そば,"near, close, beside; Japanese traditional buckwheat noodle",あの店でそばを食べましょう。,Let's eat soba noodles at that restaurant.
空,そら,sky,夜空には星がたくさん見えます。,You can see a lot of stars in the night sky.
それ,それ,that one,それが私の好みです。,That is my preference.
それから,それから,"and then, after that",昼ご飯を食べて、それから買い物に行きました。,"I had lunch, and then went shopping after that."
それでは,それでは,"in that situation, well then...",それでは、この話はここまでにします。,"Well then, let's end this discussion here."
～台,～だい,counter for vehicles; machines,車が2台あります。,There are two cars.
大学,だいがく,college; university,彼女は大学生です。,She is a college student.
大使館,たいしかん,embassy,大使館の前で待ち合わせしましょう。,Let's meet in front of the embassy.
大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control,心配しなくて大丈夫です。,"It's okay, no need to worry."
大好き,だいすき,"very like-able, like very much",彼は犬が大好きです。,He really likes dogs.
大切,たいせつ,important,家族との時間はとても大切です。,Spending time with family is very important.
台所,だいどころ,kitchen,母は台所で料理をします。,My mother cooks in the kitchen.
大変,たいへん,"very; difficult, hard",この問題はとても大変です。,This problem is very difficult.
高い,たかい,"tall, high; expensive",あのビルはとても高いです。,That building is very tall.
～だけ,～だけ,"only ~, just ~, as ~",このケーキは私だけが食べられます。,Only I can eat this cake.
沢山,たくさん,"many, much",果物屋さんには沢山の果物があります。,The fruit shop has a lot of fruits.
タクシー,タクシー,taxi,空港からホテルまでタクシーで行きました。,I took a taxi from the airport to the hotel.
出す,だす,to take (something) out; to hand in (something),宿題を出しなさい。,Hand in your homework.
～たち,～たち,plural suffix,友達たちと一緒にピクニックに行きました。,I went on a picnic with my friends.
立つ,たつ,to stand up,彼は立って話しています。,He is standing and talking.
たて,たて,"length, height",この机のたてはどれくらいある？,How tall is this desk?
建物,たてもの,building,町には新しい建物がたくさん建っています。,There are many new buildings being constructed in the town.
楽しい,たのしい,"enjoyable, fun",昨日のパーティーはとても楽しかった。,Yesterday's party was really fun.
頼む,たのむ,"to request, to ask (a favor)",お願い、手伝ってください。,"Please, help me out."
たばこ,たばこ,"tobacco, cigarettes",彼はたばこを吸い始めました。,He started smoking cigarettes.
多分,たぶん,"perhaps, probably, maybe",多分、今日は雨が降るでしょう。,Perhaps it will rain today.
食べ物,たべもの,food,外国の食べ物を食べるのが好きです。,I like eating foreign food.
食べる,たべる,to eat,朝ごはんを食べるのを忘れないでください。,Don't forget to eat breakfast.
卵,たまご,egg,卵を使った料理が得意です。,I am good at cooking dishes with eggs.
誰,だれ,who,この本は誰のですか？,Whose book is this?
誰か,だれか,someone,誰か助けてくれますか？,Can someone help me?
誕生日,たんじょうび,birthday,彼の誕生日にプレゼントを贈りました。,I gave him a present for his birthday.
段々,だんだん,"gradually, by degrees",段々暖かくなってきました。,It has gradually become warmer.
小さい,ちいさい,"small, little",このかばんは小さいですが、使いやすいです。,"This bag is small, but easy to use."
小さな,ちいさな,"small, little",小さな村に住んでいます。,I live in a small village.
近い,ちかい,"near, close by, short",家は駅に近いです。,The house is close to the station.
違う,ちがう,to be different; to differ; wrong,彼女の意見は私のと違う。,Her opinion is different from mine.
近く,ちかく,nearby; in the neighborhood,近くの公園で散歩しました。,I took a walk in the nearby park.
地下鉄,ちかてつ,"underground train, subway",地下鉄で都市を移動します。,I travel around the city by subway.
地図,ちず,a map,地図を見て目的地を見つけました。,I found the destination by looking at the map.
父,ちち,(my) father,父はとても優しい人です。,My father is a very kind person.
茶色,ちゃいろ,brown,彼女の髪の色は茶色です。,Her hair color is brown.
茶碗,ちゃわん,rice bowl,茶碗にご飯を盛ります。,I serve rice in a rice bowl.
～中,～ちゅう,"during, while ~ing",勉強中に電話が鳴った。,The phone rang while I was studying.
丁度,ちょうど,"just, right, exactly",丁度いい日ですね。,"It's a perfect day, isn't it?"
ちょっと,ちょっと,"a little, somewhat; just a little, somewhat",ちょっと待ってください。,Please wait a moment.
一日,ついたち,one day; first day of the month,一日中勉強しました。,I studied all day long.
使う,つかう,to use,新しい道具を使います。,I will use the new tool.
疲れる,つかれる,to get (become) tired; to become fatigued,長い旅行で疲れました。,I got tired from the long trip.
次,つぎ,next,次の駅で降ります。,I will get off at the next station.
着く,つく,"to arrive at, to reach",電車が次の駅に着きます。,The train will arrive at the next station.
机,つくえ,desk,机の上に本が置いてあります。,There is a book on the desk.
作る,つくる,"to make, to create",料理を作るのが好きです。,I enjoy cooking.
つける,つける,"to turn on (e.g., a light); to take",電気をつけて部屋を明るくしました。,I turned on the light to brighten up the room.
勤める,つとめる,to work (for),会社で一生懸命勤めます。,I will work hard at the company.
つまらない,つまらない,"boring, dull; insignificant",その映画はつまらなかったです。,That movie was boring.
冷たい,つめたい,"cold (things, people)",冷たい飲み物が欲しいです。,I want a cold drink.
強い,つよい,"strong, powerful",彼は強いリーダーシップを持っています。,He has strong leadership.
手,て,hand,手を洗ってから食事しましょう。,Let's eat after washing hands.
テープ,テープ,tape,その会話をテープに録音しました。,I recorded the conversation on tape.
テープレコーダー,テープレコーダー,tape recorder,彼はテープレコーダーを持っています。,He has a tape recorder.
テーブル,テーブル,table,食事をテーブルで楽しみました。,We enjoyed the meal at the table.
出かける,でかける,to go out; to depart,友達と出かけて映画を見ました。,I went out with friends and watched a movie.
手紙,てがみ,letter,手紙を書いて友達に送ります。,I will write a letter and send it to a friend.
できる,できる,to be able to (to accomplish),宿題が早くできました。,I finished my homework quickly.
出口,でぐち,an exit,出口はこちらです。,The exit is over here.
テスト,テスト,test,明日は難しいテストがあります。,There is a difficult test tomorrow.
では,では,"then, well, so",では、また会いましょう。,"Well then, let's meet again."
デパート,デパート,(abbr.) department store,デパートで買い物をします。,I will go shopping at the department store.
でも,でも,"but, however",雨が降っているけど、でも出かけます。,"It's raining, but I will go out anyway."
出る,でる,"to appear, to leave",友達が部屋から出ました。,My friend left the room.
テレビ,テレビ,"television, TV",テレビで映画を見ました。,I watched a movie on TV.
天気,てんき,weather,今日の天気は晴れです。,The weather today is sunny.
電気,でんき,"electricity, (electric) light",電気を節約するために消します。,I turn off the light to save electricity.
電車,でんしゃ,electric train,電車で毎日通勤します。,I commute by train every day.
電話,でんわ,a telephone,電話をかける。,To make a phone call.
戸,と,door (Japanese style),戸を開ける。,To open the door.
～度,～ど,counter for occurrences; ~ degree; ~ point,三度の飯。,Three meals a day.
ドア,ドア,door (Western style),ドアを閉める。,To close the door.
トイレ,トイレ,bathroom; toilet,トイレに行く。,To go to the bathroom.
どう,どう,"how, in what way",どうしたの？,What's wrong?
どうして,どうして,"why, for what reason",どうして泣いているの？,Why are you crying?
どうぞ,どうぞ,"please, kindly, by all means",どうぞお召し上がりください。,Please help yourself.
動物,どうぶつ,animal,動物園に行く。,To go to the zoo.
どうも,どうも,Thank you; somehow; no matter how hard one may try,どうもありがとうございます。,Thank you very much.
十,(〜を) とお,ten (~),十本のペン。,Ten pens.
遠い,とおい,"far (away), distant",遠い国。,A distant country.
十日,とおか,ten days; tenth day of the month,十日間。,For ten days.
～時,～とき,at the time of ~,三時に会いましょう。,Let's meet at three o'clock.
時々,ときどき,sometimes,時々雨が降る。,Sometimes it rains.
時計,とけい,a watch; a clock,時計を見る。,To look at the clock.
どこ,どこ,"where, what place",どこから来ましたか？,Where are you from?
所,ところ,place,ここはいい所だ。,This is a nice place.
年,とし,"year, age",三十歳。,Thirty years old.
図書館,としょかん,library,図書館で本を借りる。,To borrow books from the library.
どちら,どちら,which (one) (way); where (polite),どちらを選びますか？,Which one will you choose?
どっち,どっち,"which one, which way",どっちの方がいいですか？,Which one is better?
とても,とても,"very (much), greatly, exceedingly",とても嬉しい。,Very happy.
どなた,どなた,who,どなたがお呼びですか？,"Who is calling, please?"
隣,となり,"next to, next door to",隣の席に座る。,To sit in the next seat.
どの,どの,which,どの本が好きですか？,Which book do you like?
飛ぶ,とぶ,"to fly, to hop",鳥が空を飛ぶ。,Birds fly in the sky.
止まる,とまる,to come to a halt,車が止まる。,The car stops.
友達,ともだち,friend,友達と遊ぶ。,To play with friends.
土曜日,どようび,Saturday,土曜日に出かける。,To go out on Saturday.
鳥,とり,"chicken (lit., bird)",鳥が鳴く。,Birds are chirping.
鶏肉,とりにく,chicken meat,鶏肉を焼く。,To cook chicken meat.
取る,とる,to take (a class); to get (a grade),写真を取る。,To take a picture.
撮る,とる,"to take (a photo), to make (a film)",映画を撮る。,To shoot a movie.
どれ,どれ,which one,どれを選ぶ？,Which one will you choose?
どんな,どんな,"what, what kind of",どんな映画が好きですか？,What kind of movies do you like?
ない,ない,"there isn't, doesn't have",お金がない。,I don't have money.
ナイフ,ナイフ,knife,ナイフを使う。,To use a knife.
中,なか,"inside, middle, among",中に入る。,To go inside.
長い,ながい,"long, lengthy",長い髪。,Long hair.
鳴く,なく,to make sound (animal),猫が鳴く。,The cat is meowing.
無くす,なくす,to lose something,鍵を無くす。,To lose the key.
なぜ,なぜ,why (same as どうして),なぜ泣いているの？,Why are you crying?
夏,なつ,summer,夏は暑いです。,Summer is hot.
夏休み,なつやすみ,summer vacation,夏休みに旅行します。,I will travel during summer vacation.
～など,～など,et cetera,果物などを買いました。,I bought fruits and other things.
七つ,ななつ,seven things,七つのりんご。,Seven apples.
何,なん; なに,what,何を食べたの？,What did you eat?
七日,なのか,seven days; seventh day (of the month),七日に誕生日があります。,My birthday is on the seventh day.
名前,なまえ,name,私の名前は太郎です。,My name is Taro.
習う,ならう,to learn,日本語を習います。,I learn Japanese.
並ぶ,ならぶ,"to line up, to stand in a line (v.i.)",列に並ぶ。,To line up in a queue.
並べる,ならべる,to put (things) side by side; to line up,机に本を並べる。,To line up books on the desk.
なる,なる,to become,先生になりたいです。,I want to become a teacher.
何～,なん～,what sort of ~,何色の車が欲しいですか？,What color car do you want?
二,に,two,リンゴを二個ください。,Please give me two apples.
にぎやか,にぎやか,"bustling, busy",市場はにぎやかです。,The market is bustling.
肉,にく,meat,お肉が好きです。,I like meat.
西,にし,west,夕日が西に沈みます。,The sun sets in the west.
～日,～にち,"~ day of the month, for ~ days",五日までに終わります。,It will end by the 5th of the month.
日曜日,にちようび,Sunday,日曜日は休みです。,Sunday is a day off.
荷物,にもつ,luggage; baggage,荷物を持っています。,I have luggage.
ニュース,ニュース,news,テレビでニュースを見ます。,I watch the news on TV.
庭,にわ,garden,庭に花が咲いています。,Flowers are blooming in the garden.
～人,～にん,counter for people,三人でレストランに行きます。,I will go to the restaurant with three people.
脱ぐ,ぬぐ,to take off (clothes),靴を脱いでください。,Please take off your shoes.
温い,ぬるい,lukewarm,お風呂のお湯が温い。,The bathwater is lukewarm.
ネクタイ,ネクタイ,"tie, necktie",新しいネクタイを買いました。,I bought a new tie.
猫,ねこ,cat,猫が庭で遊んでいます。,The cat is playing in the garden.
寝る,ねる,to sleep; to go to sleep; to go to bed,もう寝る時間です。,It's time to go to sleep.
～年,～ねん,~ years,三年間日本語を勉強しました。,I studied Japanese for three years.
ノート,ノート,notebook,ノートを忘れてしまった。,I forgot my notebook.
登る,のぼる,to climb,山に登ります。,I will climb the mountain.
飲み物,のみもの,"drink, beverage",食事と一緒に飲み物を注文します。,I will order a drink with the meal.
飲む,のむ,to drink,コーヒーを飲みます。,I will drink coffee.
乗る,のる,"to get on, to ride in, to board",電車に乗って。,Get on the train.
歯,は,tooth,歯が痛い。,My tooth hurts.
パーティー,パーティー,a party,友達のパーティーに行きます。,I will go to a friend's party.
はい,はい,yes,はい、承知しました。,"Yes, I understand."
～杯,～はい,counter for cupfuls,コーヒーを一杯ください。,"One cup of coffee, please."
灰皿,はいざら,ashtray,テーブルの上に灰皿が置かれている。,There is an ashtray on the table.
入る,はいる,"to enter, to contain, to hold",部屋に入ると、猫が迎えてくれた。,"When I entered the room, the cat greeted me."
葉書,はがき,postcard,友達に旅行先から葉書を送った。,I sent a postcard to my friend from my trip.
はく,はく,to put on (items below your waist),靴を履いて外出する。,Put on your shoes before going out.
箱,はこ,box,プレゼントの箱を開けると、驚きの品が入っていた。,"When I opened the gift box, there was a surprising item inside."
橋,はし,bridge,川の上に立派な橋が架かっている。,There is a splendid bridge over the river.
箸,はし,chopsticks,お寿司を箸で取って食べる。,Pick up and eat sushi with chopsticks.
始まる,はじまる,(something) begins,会議は午後2時から始まる予定です。,The meeting is scheduled to start at 2 p.m.
初め; 始め,はじめ,"beginning, start",新しいクラスでの初めの一歩が大事だ。,The first step in a new class is important.
初めて,はじめて,for the first time,日本に旅行するのは初めてです。,It's my first time traveling to Japan.
走る,はしる,to run,朝のジョギングで走ることが好きだ。,I enjoy running in the morning jogging.
バス,バス,bus; bath; bass,バスが定刻に出発しました。,The bus departed on schedule.
バター,バター,butter,トーストにバターを塗る。,Spread butter on the toast.
二十歳,はたち,20 years old,彼は二十歳の誕生日を迎えた。,He celebrated his 20th birthday.
働く,はたらく,to work,毎日、一生懸命働いています。,I work hard every day.
八,はち,eight,八つの色が見える虹が出現した。,A rainbow with eight colors appeared.
二十日,はつか,"twenty days, twentieth (day of the month)",毎月、二十日は忙しい日だ。,The 20th of every month is a busy day.
花,はな,flower,庭にたくさんの花が咲いている。,Many flowers are blooming in the garden.
鼻,はな,nose,風邪をひいて、鼻が詰まっている。,"I caught a cold, and my nose is stuffed."
話,はなし,"talk (chat), story",話を聞きながら、落ち着いて考えた。,I calmly thought while listening to the story.
話す,はなす,to speak,外国語を話すことが得意だ。,I am good at speaking foreign languages.
母,はは,(my) mother,母はいつも私を支えてくれる。,My mother always supports me.
早い,はやい,early,早起きすると、1日が長く感じる。,"When you wake up early, the day feels longer."
速い,はやい,"fast, quick",新幹線はとても速い。,The Shinkansen is very fast.
春,はる,spring,春になると桜が咲き誇る。,Cherry blossoms bloom in full glory in spring.
貼る,はる,to post; to paste; to attach,壁にポスターを貼ってお部屋を飾る。,Decorate the room by pasting posters on the wall.
晴れ,はれ,clear (sunny) weather,晴れた日には散歩するのが気持ちいい。,It feels good to take a walk on a sunny day.
晴れる,はれる,to be sunny,雨が上がり、晴れることを願っていた。,"The rain stopped, and I was hoping for clear weather."
半,はん,"half (e.g., にじはん | half-past two)",９時半に会議が始まります。,The meeting starts at 9:30.
晩,ばん,evening,晩は家族みんなで夕食を食べる。,"In the evening, the whole family eats dinner together."
～番,～ばん,~st; ~th best,今回の大会で５番目に入賞した。,I ranked fifth in this tournament.
パン,パン,bread,朝食にはパンが欠かせない。,Bread is essential for breakfast.
ハンカチ,ハンカチ,handkerchief,夏には必ずハンカチを持ち歩く。,Always carry a handkerchief in the summer.
番号,ばんごう,"number, series of digits",携帯電話の電話番号は覚えていますか？,Do you remember your cell phone number?
晩御飯,ばんごはん,"dinner, evening meal",昨日の晩御飯はカレーだった。,Yesterday's dinner was curry.
半分,はんぶん,half,ケーキを半分に切って、一緒に食べよう。,Let's cut the cake in half and eat it together.
東,ひがし,east,日本の東には太平洋が広がる。,The Pacific Ocean spreads to the east of Japan.
～匹,～ひき,counter for small animals,犬を３匹飼っています。,I have three dogs.
引く,ひく,"to pull, to draw; subtract",図面から線を引く。,Draw a line on the blueprint.
弾く,ひく,to play (a string instrument or piano),ピアノを上手に弾くことができる。,I can play the piano well.
低い,ひくい,"short, low",そのテーブルは低いです。,That table is low.
飛行機,ひこうき,airplane,飛行機で旅行するのは楽しいです。,Traveling by airplane is fun.
左,ひだり,left hand side,左手でページをめくってください。,Please turn the page with your left hand.
人,ひと,"man, person",日本には親切な人がたくさんいます。,There are many kind people in Japan.
一つ,ひとつ,one thing,机の上にペンが一つあります。,There is one pen on the desk.
一月,ひとつき,one month,一月は寒い月です。,January is a cold month.
一人,ひとり,one person,昨日、一人で映画を見ました。,"Yesterday, I watched a movie alone."
暇,ひま,"free time, leisure",週末には暇になる時間が楽しみです。,I look forward to having free time on the weekend.
百,ひゃく,hundred,この本には百ページあります。,This book has one hundred pages.
病院,びょういん,hospital,彼女は病院で働いています。,She works at the hospital.
病気,びょうき,illness; sickness,風邪で病気になりやすい季節です。,It's the season where you easily catch a cold and get sick.
平仮名,ひらがな,hiragana,日本語の勉強で平仮名を練習しています。,I am practicing hiragana as part of studying Japanese.
昼,ひる,"noon, daytime",昼ごはんに何を食べますか？,What are you going to eat for lunch?
昼御飯,ひるごはん,"lunch, midday meal",昼御飯は毎日楽しみです。,I look forward to lunch every day.
広い,ひろい,spacious; wide; broad,この公園は広いですね。,This park is spacious.
フィルム,フィルム,film (roll of),昔のカメラにはフィルムを入れる必要があります。,Old cameras require inserting a film.
封筒,ふうとう,envelope,手紙を封筒に入れて送ります。,I will put the letter in an envelope and send it.
プール,プール,swimming pool,夏によくプールで遊びます。,I often play in the swimming pool in the summer.
フォーク,フォーク,fork,フォークでサラダを食べるのが好きです。,I like eating salad with a fork.
吹く,ふく,"to blow (wind, etc.)",風が強く吹いています。,The wind is blowing strongly.
服,ふく,clothes,新しい服を買いたいです。,I want to buy new clothes.
二つ,ふたつ,two things,机の上に本が二つあります。,There are two books on the desk.
豚肉,ぶたにく,pork,今日の夕飯には豚肉を使って料理します。,I will cook dinner tonight using pork.
二人,ふたり,two people,友達と一緒に二人で旅行に行きます。,"I will go on a trip with a friend, just the two of us."
二日,ふつか,two days; second day of the month,私の誕生日は二月十日です。,My birthday is on the tenth of February.
太い,ふとい,"fat, thick",彼女は太い本を読んでいます。,She is reading a thick book.
冬,ふゆ,winter,冬は雪が多いです。,There is a lot of snow in winter.
降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)",明日は雨が降るかもしれません。,It might rain tomorrow.
古い,ふるい,"old (in reference to objects, not people), aged, ancient",祖父母の家には古い家具があります。,My grandparents' house has old furniture.
～分,～ふん,~ minutes,授業は六十分間です。,The class is sixty minutes long.
文章,ぶんしょう,"sentence, text",この文章を翻訳してください。,Please translate this text.
ページ,ページ,a page,このマンガは十ページまで読みました。,I have read up to page ten of this manga.
下手,へた,"unskillful, poor",彼は絵が下手ですが、歌は上手です。,"He is not good at drawing, but he is good at singing."
ベッド,ベッド,bed,疲れたらベッドで寝ましょう。,Let's sleep in the bed when we get tired.
ペット,ペット,pet,犬と猫は一般的なペットです。,Dogs and cats are common pets.
部屋,へや,a room,彼の部屋はとてもきれいです。,His room is very clean.
辺,へん,"area, vicinity",辺にいる人たちに質問してみてください。,Try asking the people around you.
ペン,ペン,pen,このペンは赤いインクです。,This pen has red ink.
勉強,べんきょう (する),study,毎日勉強することは大切です。,Studying every day is important.
便利,べんり,"convenient, handy",スマートフォンは便利なデバイスです。,Smartphones are handy devices.
帽子,ぼうし,hat; cap,新しい帽子を買いました。,I bought a new hat.
ボールペン,ボールペン,ball-point pen,ボールペンでメモを取ります。,I take notes with a ball-point pen.
外,ほか,"other, the rest",外でお弁当を食べました。,I ate a bento lunch outside.
ポケット,ポケット,pocket,スマートフォンをポケットに入れます。,I put my smartphone in my pocket.
欲しい,ほしい,"to want, in need of",新しい車が欲しいです。,I want a new car.
ポスト,ポスト,"mailbox; post, position",手紙をポストに投函しました。,I dropped the letter in the mailbox.
細い,ほそい,"thin, slender, fine",彼女は細い体型です。,She has a slender figure.
ボタン,ボタン,button,このシャツにボタンを付けます。,I'll attach buttons to this shirt.
ホテル,ホテル,hotel,旅行でホテルに泊まります。,I will stay at a hotel during the trip.
本,ほん,book,図書館で新しい本を借りました。,I borrowed a new book from the library.
～本,～ほん,counter for long cylindrical things,本棚にたくさんの本があります。,There are many books on the bookshelf.
本棚,ほんだな,bookshelf,本棚に本を整理します。,I organize books on the bookshelf.
本当,ほんとう,"real, true",その話は本当かどうか不明です。,It's unclear whether that story is true.
～枚,～まい,counter for flat things,写真を３枚撮りました。,I took three pictures.
毎朝,まいあさ,every morning,毎朝ジョギングをします。,I go jogging every morning.
毎月,まいげつ; まいつき,"every month, monthly",給料は毎月振り込まれます。,My salary is deposited every month.
毎週,まいしゅう,every week,毎週水曜日にテニスをします。,I play tennis every Wednesday.
毎日,まいにち,every day,毎日新聞を読みます。,I read the newspaper every day.
毎年,まいねん; まいとし,"every year, yearly, annually",毎年誕生日を祝います。,We celebrate the birthday every year.
毎晩,まいばん,every night,毎晩お風呂に入ります。,I take a bath every night.
前,まえ,"before, in front",前の座席に座ります。,I will sit in the front seat.
～前,～まえ,in front of ~,食事の前に手を洗いましょう。,Let's wash hands before meals.
曲る,まがる,"to turn, to bend",次の角を曲ってください。,Please turn at the next corner.
まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)",この料理はまずいです。,This dish tastes bad.
また,また,and; furthermore,また会いましょう。,Let's meet again.
まだ,まだ,"yet, still, besides",まだ雨が降っています。,It's still raining.
町,まち,town; city,私の町は小さいです。,My town is small.
待つ,まつ,to wait,友達を待っています。,I am waiting for my friend.
まっすぐ,まっすぐ,"straight (ahead), direct",まっすぐ進んでください。,Please go straight ahead.
マッチ,マッチ,match,マッチでキャンドルを点けます。,I light a candle with a match.
窓,まど,window,窓から景色を眺めます。,I look at the view from the window.
丸い; 円い,まるい,"round, circular",机の角は丸いです。,The corners of the desk are round.
万,まん,ten thousand,彼は100万円を稼ぎました。,He earned one million yen.
万年筆,まんねんひつ,fountain pen,万年筆で手紙を書きます。,I write a letter with a fountain pen.
磨く,みがく,to brush (teeth); to polish,歯を毎日磨いています。,I brush my teeth every day.
右,みぎ,right hand side,右に曲がってください。,Please turn to the right.
短い,みじかい,short (length),彼は背が短いです。,He is short in height.
水,みず,water,暑い日には水をたくさん飲みます。,I drink a lot of water on hot days.
店,みせ,"store, shop",町に新しい店が開店しました。,A new store opened in the town.
見せる,みせる,"to show, to display",写真を見せてください。,Please show me the picture.
道,みち,"road, street; way, directions",この道をまっすぐ行ってください。,Please go straight on this road.
三日,みっか,"three days, third day of the month",来週の三日に会いましょう。,Let's meet next Wednesday.
三つ,みっつ,three things,机の上に三つの本があります。,There are three books on the desk.
緑,みどり,green,春は緑の葉が美しいです。,Green leaves are beautiful in spring.
皆さん,みなさん,"all of you, everyone",皆さん、こんにちは。,Hello everyone.
南,みなみ,South,日本は東アジアの南に位置しています。,Japan is located south of East Asia.
耳,みみ,ear,犬の耳はとてもかわいいですね。,Dogs' ears are very cute.
見る,みる,"to see, to look",窓から夜空を見るのが好きです。,I like looking at the night sky from the window.
みんな,みんな,"all, everyone, everybody",今日はみんな元気そうですね。,Everyone seems energetic today.
六日,むいか,six days; sixth day of month,来月の六日に誕生日があります。,My birthday is on the sixth day of next month.
向こう,むこう,"beyond, over there",川の向こうに何か見えますか？,Can you see anything across the river?
難しい,むずかしい,difficult,数学の問題はとても難しいです。,Math problems are very difficult.
六つ,むっつ,six things,テーブルに六つの椅子があります。,There are six chairs on the table.
村,むら,village,私の祖母は村に住んでいます。,My grandmother lives in the village.
目,め,eye(s),猫の目は夜に光ります。,A cat's eyes shine at night.
メートル,メートル,meter,今日は５００メートル走りました。,I ran 500 meters today.
眼鏡,めがね,eye glasses,新しい眼鏡をかけると視界が良くなりました。,My vision improved when I put on new glasses.
もう,もう,already; again; more,もう夕食の準備ができています。,Dinner is already prepared.
木曜日,もくようび,Thursday,木曜日は日本で掃除をする日です。,Thursday is the day for cleaning in Japan.
もしもし,もしもし,Hello? (used on the phone),もしもし、田中さんですか？,"Hello, is this Mr. Tanaka?"
持つ,もつ,"to hold, to carry; to possess",彼は重い荷物を持っています。,He is carrying a heavy load.
もっと,もっと,more,もっと静かにしてください。,Please be quieter.
物,もの,thing (concrete object),机の上に物がたくさんあります。,There are many things on the desk.
門,もん,gate,古い門が美しい庭を囲んでいます。,An old gate surrounds a beautiful garden.
問題,もんだい,a problem,数学の問題を解いていますか？,Are you solving math problems?
～屋,～や,~ shop,本屋は本を販売するお店です。,A bookstore is a shop that sells books.
八百屋,やおや,greengrocer,八百屋で新鮮な野菜を買いました。,I bought fresh vegetables at the greengrocer's.
野菜,やさい,vegetable,毎日野菜を食べて体に良いです。,Eating vegetables every day is good for your health.
易しい,やさしい,"easy, plain, simple",日本語は易しい言語です。,Japanese is an easy language.
安い,やすい,inexpensive; cheap (things),この店では服がとても安いです。,Clothes are very cheap at this store.
休み,やすみ,holiday; day off; absence,彼は週末に休みを楽しんでいます。,He enjoys his days off on weekends.
休む,やすむ,"to rest, to have a break, to get time off",体が疲れたので休んでいます。,I am resting because my body is tired.
八つ,やっつ,eight things,箱に色々な飴が八つ入っています。,There are eight different candies in the box.
山,やま,mountain,山の頂上からの景色は素晴らしいです。,The view from the mountaintop is magnificent.
やる,やる,"to do; to give (to pets, parents, siblings, etc.)",犬にボールをやると喜びます。,Dogs are happy when you give them a ball.
夕方,ゆうがた,"late afternoon (typically just before dinner time), evening",夕方にジョギングをするのが好きです。,I like to jog in the late afternoon.
夕飯,ゆうはん,"dinner, supper, evening meal",今日の夕飯は何を食べますか？,What are you going to eat for dinner today?
郵便局,ゆうびんきょく,post office,この町に郵便局はありますか？,Is there a post office in this town?
昨夜,ゆうべ,last night,昨夜は家で映画を見ました。,I watched a movie at home last night.
有名,ゆうめい,famous,彼女は有名な歌手です。,She is a famous singer.
雪,ゆき,snow,雪が降っています。,It is snowing.
ゆっくりと,ゆっくりと,"slowly, at ease",彼はゆっくりと歩いた。,He walked slowly.
八日,ようか,eight days; eighth day of the month,今月の八日は日曜日です。,The eighth day of this month is Sunday.
洋服,ようふく,Western-style clothes,彼女は洋服を着ています。,She is wearing Western-style clothes.
よく,よく,"frequently, often (much); well, skillfully",彼はよく勉強します。,He studies often.
横,よこ,beside; side; width,机の横に本があります。,There is a book beside the desk.
四日,よっか,four days; fourth day of the month,四日後に会いましょう。,Let's meet four days later.
四つ,よっつ,four things,机の上に四つのペンがあります。,There are four pens on the desk.
呼ぶ,よぶ,to call (one's name); to invite,友達を呼んで一緒に行きましょう。,Call your friend and let's go together.
読む,よむ,to read,本を読むのが好きです。,I like to read books.
夜,よる,"evening, night",夜に星が輝いている。,The stars are shining at night.
弱い,よわい,weak,彼は弱い人ではありません。,He is not a weak person.
来月,らいげつ,next month,来月、日本に行きます。,I will go to Japan next month.
来週,らいしゅう,next week,来週から新しい仕事が始まります。,A new job will start from next week.
